question_uid,link,title,current_status,resolution_type,value,notes
go:399306,https://gateoverflow.in/399306/gate-cse-2023-question-6,GATE CSE 2023 | Question: 6,MISSING,,,
go:357439,https://gateoverflow.in/357439/gate-cse-2021-set-1-question-13,GATE CSE 2021 Set 1 | Question: 13,MISSING,,,
go:214569,https://gateoverflow.in/214569/m-tech-admission,M.tech admission,MISSING,,,
go:211439,https://gateoverflow.in/211439/previous-gate-year-score-degrades,Previous Gate year score degrades?,MISSING,,,
go:208574,https://gateoverflow.in/208574/gate2018-admissions,Gate2018 Admissions,MISSING,,,
go:204115,https://gateoverflow.in/204115/gate-cse-2018-question-41,GATE CSE 2018 | Question: 41,MISSING,,,
go:118329,https://gateoverflow.in/118329/gate-cse-2017-set-1-question-46,GATE CSE 2017 Set 1 | Question: 46,MISSING,,,
go:388951,https://gateoverflow.in/388951/gate-cse-2017-set-2-question-33-msq-version,GATE CSE 2017 Set 2 | Question: 33 (MSQ Version),MISSING,,,
go:8246,https://gateoverflow.in/8246/gate-cse-2015-set-2-question-46,GATE CSE 2015 Set 2 | Question: 46,MISSING,,,
go:395812,https://gateoverflow.in/395812/gate-cse-2014-set-2-question-10-modified,GATE CSE 2014 Set 2 | Question: 10 | Modified,MISSING,,,
go:2089,https://gateoverflow.in/2089/gate-cse-2014-set-3-question-54,GATE CSE 2014 Set 3 | Question: 54,MISSING,,,
go:2064,https://gateoverflow.in/2064/gate-cse-2014-set-3-question-30,GATE CSE 2014 Set 3 | Question: 30,MISSING,,,
go:1546,https://gateoverflow.in/1546/gate-cse-2013-question-35,GATE CSE 2013 | Question: 35,MISSING,,,
go:2148,https://gateoverflow.in/2148/gate-cse-2011-question-46,GATE CSE 2011 | Question: 46,MISSING,,,
go:165929,https://gateoverflow.in/165929/doubt-in-pipelining-questions,Doubt in pipelining questions.,MISSING,,,
go:1331,https://gateoverflow.in/1331/gate-cse-2009-question-45,GATE CSE 2009 | Question: 45,MISSING,,,
go:387302,https://gateoverflow.in/387302/gate-2008-question-21,GATE 2008 | Question 21,MISSING,,,
go:491,https://gateoverflow.in/491/gate-cse-2008-question-68,GATE CSE 2008 | Question: 68,MISSING,,,
go:3388,https://gateoverflow.in/3388/gate-it-2008-question-74,GATE IT 2008 | Question: 74,MISSING,,,
go:3374,https://gateoverflow.in/3374/gate-it-2008-question-63,GATE IT 2008 | Question: 63,MISSING,,,
go:2428,https://gateoverflow.in/2428/gate-cse-2007-question-59,GATE CSE 2007 | Question: 59,MISSING,,,
go:1259,https://gateoverflow.in/1259/gate-cse-2007-question-61,GATE CSE 2007 | Question: 61,MISSING,,,
go:394296,https://gateoverflow.in/394296/lock-compatibility-in-gate-it-2007-question-66,Lock Compatibility in GATE IT 2007 | Question: 66,MISSING,,,
go:1847,https://gateoverflow.in/1847/gate-cse-2006-question-69,GATE CSE 2006 | Question: 69,MISSING,,,
go:1846,https://gateoverflow.in/1846/gate-cse-2006-question-68,GATE CSE 2006 | Question: 68,MISSING,,,
go:402659,https://gateoverflow.in/402659/why-option-b-is-not-correct,Why option (b) is not correct,MISSING,,,
go:132099,https://gateoverflow.in/132099/gate-2005,Gate 2005,MISSING,,,
go:1400,https://gateoverflow.in/1400/gate-cse-2005-question-77-isro2016-55,"GATE CSE 2005 | Question: 77, ISRO2016-55",MISSING,,,
go:1392,https://gateoverflow.in/1392/gate-cse-2005-question-69,GATE CSE 2005 | Question: 69,MISSING,,,
go:3831,https://gateoverflow.in/3831/gate-it-2005-question-68,GATE IT 2005 | Question: 68,MISSING,,,
go:3718,https://gateoverflow.in/3718/gate-it-2004-question-74,GATE IT 2004 | Question: 74,MISSING,,,
go:165580,https://gateoverflow.in/165580/modified-gate-2003-question,Modified GATE 2003 question,MISSING,,,
go:43575,https://gateoverflow.in/43575/gate-cse-2003-question-74,GATE CSE 2003 | Question: 74,MISSING,,,
go:205818,https://gateoverflow.in/205818/gate-cse-2002-question-18-b,GATE CSE 2002 | Question: 18-b,MISSING,,,
go:3915,https://gateoverflow.in/3915/gate-cse-2002-question-5b,GATE CSE 2002 | Question: 5b,MISSING,,,
go:875,https://gateoverflow.in/875/gate-cse-2002-question-22,GATE CSE 2002 | Question: 22,MISSING,,,
go:874,https://gateoverflow.in/874/gate-cse-2002-question-21,GATE CSE 2002 | Question: 21,MISSING,,,
go:873,https://gateoverflow.in/873/gate-cse-2002-question-20,GATE CSE 2002 | Question: 20,MISSING,,,
go:872,https://gateoverflow.in/872/gate-cse-2002-question-19,GATE CSE 2002 | Question: 19,MISSING,,,
go:871,https://gateoverflow.in/871/gate-cse-2002-question-18-a,GATE CSE 2002 | Question: 18-a,MISSING,,,
go:870,https://gateoverflow.in/870/gate-cse-2002-question-17,GATE CSE 2002 | Question: 17,MISSING,,,
go:869,https://gateoverflow.in/869/gate-cse-2002-question-16,GATE CSE 2002 | Question: 16,MISSING,,,
go:868,https://gateoverflow.in/868/gate-cse-2002-question-15,GATE CSE 2002 | Question: 15,MISSING,,,
go:867,https://gateoverflow.in/867/gate-cse-2002-question-14,GATE CSE 2002 | Question: 14,MISSING,,,
