uid,id_str,volume,chapter_no,subject_code,question_no,type,answer_mcq,answer_msq,answer_nat,tolerance_abs,source_pdf,source_page,source_line_index
v1:1.1.2,1.1.2,1,1,1,2,MCQ,B,,,,volume1,14,28
v1:1.1.3,1.1.3,1,1,1,3,NAT,,,7.0,0.01,volume1,14,28
v1:1.1.4,1.1.4,1,1,1,4,MCQ,A,,,,volume1,14,28
v1:1.2.2,1.2.2,1,1,2,2,MSQ,,A;C,,,volume1,14,29
v1:1.2.3,1.2.3,1,1,2,3,MCQ,A,,,,volume1,14,29
v1:1.2.6,1.2.6,1,1,2,6,MCQ,D,,,,volume1,14,29
v1:1.2.7,1.2.7,1,1,2,7,MCQ,D,,,,volume1,14,30
v1:1.2.8,1.2.8,1,1,2,8,MCQ,D,,,,volume1,14,30
v1:1.2.10,1.2.10,1,1,2,10,MCQ,B,,,,volume1,14,30
v1:1.2.11,1.2.11,1,1,2,11,MCQ,C,,,,volume1,14,30
v1:1.2.12,1.2.12,1,1,2,12,MCQ,B,,,,volume1,14,31
v1:1.2.13,1.2.13,1,1,2,13,MCQ,C,,,,volume1,14,31
v1:1.2.14,1.2.14,1,1,2,14,MCQ,A,,,,volume1,14,31
v1:1.2.15,1.2.15,1,1,2,15,MCQ,D,,,,volume1,14,31
v1:1.2.16,1.2.16,1,1,2,16,NAT,,,89.0,0.01,volume1,14,31
v1:1.2.17,1.2.17,1,1,2,17,NAT,,,15.0,0.01,volume1,14,32
v1:1.2.18,1.2.18,1,1,2,18,MCQ,C,,,,volume1,14,32
v1:1.2.19,1.2.19,1,1,2,19,NAT,,,12.0,0.01,volume1,14,32
v1:1.2.20,1.2.20,1,1,2,20,NAT,,,195.0,0.01,volume1,14,32
v1:1.2.21,1.2.21,1,1,2,21,MCQ,B,,,,volume1,14,32
v1:1.2.22,1.2.22,1,1,2,22,MCQ,A,,,,volume1,14,33
v1:1.3.1,1.3.1,1,1,3,1,MCQ,D,,,,volume1,14,33
v1:1.3.2,1.3.2,1,1,3,2,NAT,,,65.0,0.01,volume1,14,33
v1:1.3.3,1.3.3,1,1,3,3,NAT,,,59049.0,0.01,volume1,14,33
v1:1.3.4,1.3.4,1,1,3,4,MCQ,D,,,,volume1,14,33
v1:1.4.2,1.4.2,1,1,4,2,MCQ,B,,,,volume1,14,34
v1:1.4.3,1.4.3,1,1,4,3,NAT,,,10.0,0.01,volume1,14,34
v1:1.4.4,1.4.4,1,1,4,4,NAT,,,15.0,0.01,volume1,14,34
v1:1.4.5,1.4.5,1,1,4,5,MCQ,D,,,,volume1,14,34
v1:1.4.6,1.4.6,1,1,4,6,MCQ,A,,,,volume1,14,35
v1:1.5.1,1.5.1,1,1,5,1,NAT,,,4.0,0.01,volume1,14,35
v1:1.5.2,1.5.2,1,1,5,2,NAT,,,2.0,0.01,volume1,14,35
v1:1.6.1,1.6.1,1,1,6,1,MCQ,C,,,,volume1,14,35
v1:1.6.2,1.6.2,1,1,6,2,MCQ,C,,,,volume1,14,35
v1:1.7.2,1.7.2,1,1,7,2,MCQ,B,,,,volume1,14,36
v1:1.7.4,1.7.4,1,1,7,4,MSQ,,A;B;C,,,volume1,14,36
v1:1.7.5,1.7.5,1,1,7,5,MCQ,A,,,,volume1,14,36
v1:1.7.6,1.7.6,1,1,7,6,MCQ,B,,,,volume1,14,37
v1:1.7.7,1.7.7,1,1,7,7,MCQ,B,,,,volume1,14,37
v1:1.8.2,1.8.2,1,1,8,2,MCQ,A,,,,volume1,14,37
v1:1.8.3,1.8.3,1,1,8,3,NAT,,,0.99,0.01,volume1,14,37
v1:2.1.1,2.1.1,1,2,1,1,MCQ,D,,,,volume1,30,9
v1:2.1.2,2.1.2,1,2,1,2,MCQ,D,,,,volume1,30,9
v1:2.2.4,2.2.4,1,2,2,4,MCQ,D,,,,volume1,30,10
v1:2.2.5,2.2.5,1,2,2,5,MCQ,C,,,,volume1,30,10
v1:2.2.6,2.2.6,1,2,2,6,MCQ,C,,,,volume1,30,10
v1:2.2.7,2.2.7,1,2,2,7,MCQ,B,,,,volume1,30,10
v1:2.2.8,2.2.8,1,2,2,8,MCQ,C,,,,volume1,30,11
v1:2.2.9,2.2.9,1,2,2,9,MCQ,D,,,,volume1,30,11
v1:2.2.10,2.2.10,1,2,2,10,MCQ,C,,,,volume1,30,11
v1:2.2.11,2.2.11,1,2,2,11,MCQ,C,,,,volume1,30,11
v1:2.2.12,2.2.12,1,2,2,12,NAT,,,16.0,0.01,volume1,30,11
v1:2.3.1,2.3.1,1,2,3,1,MCQ,D,,,,volume1,30,12
v1:2.3.2,2.3.2,1,2,3,2,MCQ,C,,,,volume1,30,12
v1:2.3.3,2.3.3,1,2,3,3,MCQ,A,,,,volume1,30,12
v1:2.3.4,2.3.4,1,2,3,4,NAT,,,4.0,0.01,volume1,30,12
v1:2.3.5,2.3.5,1,2,3,5,NAT,,,3.0,0.01,volume1,30,12
v1:2.3.6,2.3.6,1,2,3,6,NAT,,,7.0,0.01,volume1,30,13
v1:2.3.7,2.3.7,1,2,3,7,MSQ,,A;B,,,volume1,30,13
v1:2.3.8,2.3.8,1,2,3,8,MSQ,,B;C,,,volume1,30,13
