question_uid,exam_uid,title,link,year,tags,reason
go:399306,cse:2023:set1:main:q6,GATE CSE 2023 | Question: 6,https://gateoverflow.in/399306/gate-cse-2023-question-6,gatecse-2023,gatecse-2023;databases;relational-model;1-mark,no_question_uid_answer_record
go:357439,cse:2021:set1:main:q13,GATE CSE 2021 Set 1 | Question: 13,https://gateoverflow.in/357439/gate-cse-2021-set-1-question-13,gatecse-2021-set1,gatecse-2021-set1;multiple-selects;databases;transaction-and-concurrency;1-mark,no_question_uid_answer_record
go:204115,cse:2018:set1:main:q41,GATE CSE 2018 | Question: 41,https://gateoverflow.in/204115/gate-cse-2018-question-41,gatecse-2018,gatecse-2018;databases;relational-algebra;normal;2-marks,no_question_uid_answer_record
go:118329,cse:2017:set1:main:q46,GATE CSE 2017 Set 1 | Question: 46,https://gateoverflow.in/118329/gate-cse-2017-set-1-question-46,gatecse-2017-set1,gatecse-2017-set1;databases;relational-algebra;normal;numerical-answers,no_question_uid_answer_record
go:388951,cse:2017:set2:main:q33-msq-version,GATE CSE 2017 Set 2 | Question: 33 (MSQ Version),https://gateoverflow.in/388951/gate-cse-2017-set-2-question-33-msq-version,gatecse-2017-set2,gatecse-2017-set2;operating-system;resource-allocation;normal;multiple-selects,no_question_uid_answer_record
go:8246,cse:2015:set2:main:q46,GATE CSE 2015 Set 2 | Question: 46,https://gateoverflow.in/8246/gate-cse-2015-set-2-question-46,gatecse-2015-set2,gatecse-2015-set2;databases;transaction-and-concurrency;normal,no_question_uid_answer_record
go:395812,cse:2014:set2:main:q10-modified,GATE CSE 2014 Set 2 | Question: 10 | Modified,https://gateoverflow.in/395812/gate-cse-2014-set-2-question-10-modified,gatecse-2014-set2,gatecse-2014-set2;algorithms;identify-function;numerical-answers;easy,no_question_uid_answer_record
go:2089,cse:2014:set3:main:q54,GATE CSE 2014 Set 3 | Question: 54,https://gateoverflow.in/2089/gate-cse-2014-set-3-question-54,gatecse-2014-set3,gatecse-2014-set3;databases;sql;easy,no_question_uid_answer_record
go:2064,cse:2014:set3:main:q30,GATE CSE 2014 Set 3 | Question: 30,https://gateoverflow.in/2064/gate-cse-2014-set-3-question-30,gatecse-2014-set3,gatecse-2014-set3;databases;relational-algebra;normal,no_question_uid_answer_record
go:1546,cse:2013:set1:main:q35,GATE CSE 2013 | Question: 35,https://gateoverflow.in/1546/gate-cse-2013-question-35,gatecse-2013,gatecse-2013;databases;sql;relational-calculus;normal,no_question_uid_answer_record
go:2148,cse:2011:set1:main:q46,GATE CSE 2011 | Question: 46,https://gateoverflow.in/2148/gate-cse-2011-question-46,gatecse-2011,gatecse-2011;databases;sql;normal,no_question_uid_answer_record
go:1331,cse:2009:set1:main:q45,GATE CSE 2009 | Question: 45,https://gateoverflow.in/1331/gate-cse-2009-question-45,gatecse-2009,gatecse-2009;databases;relational-calculus;difficult,no_question_uid_answer_record
go:387302,cse:2008:set1:main:q21,GATE 2008 | Question 21,https://gateoverflow.in/387302/gate-2008-question-21,gatecse-2008,gatecse-2008;mathematical-logic;first-order-logic;normal,no_question_uid_answer_record
go:491,cse:2008:set1:main:q68,GATE CSE 2008 | Question: 68,https://gateoverflow.in/491/gate-cse-2008-question-68,gatecse-2008,gatecse-2008;databases;relational-algebra;normal,no_question_uid_answer_record
go:2428,cse:2007:set1:main:q59,GATE CSE 2007 | Question: 59,https://gateoverflow.in/2428/gate-cse-2007-question-59,gatecse-2007,gatecse-2007;databases;relational-algebra;normal,no_question_uid_answer_record
