question_uid,link,status,method,type,answer,raw_value
go:118328,https://gateoverflow.in/118328/gate-cse-2017-set-1-question-45,applied,gateoverflow_widget,NAT,88.0,86.5 : 89.5
go:118597,https://gateoverflow.in/118597/gate-cse-2017-set-2-question-45,applied,gateoverflow_widget,NAT,4.75,4.7 : 4.8
go:1694,https://gateoverflow.in/1694/gate-cse-1998-question-3a,applied,gateoverflow_widget,NAT,0.695,0.69:0.70
go:1953,https://gateoverflow.in/1953/gate-cse-2014-set-2-question-1,applied,gateoverflow_widget,NAT,11.899999999999999,11.85 : 11.95
go:1954,https://gateoverflow.in/1954/gate-cse-2014-set-2-question-2,applied,gateoverflow_widget,NAT,3.8499999999999996,3.8 : 3.9
go:1977,https://gateoverflow.in/1977/gate-cse-2014-set-2-question-20,applied,gateoverflow_widget,NAT,99.6,99.55 : 99.65
go:2000,https://gateoverflow.in/2000/gate-cse-2014-set-2-question-40,applied,gateoverflow_widget,NAT,1.73,1.72 : 1.74
go:2014,https://gateoverflow.in/2014/gate-cse-2014-set-2-question-48,applied,gateoverflow_widget,NAT,0.26,0.259 : 0.261
go:204089,https://gateoverflow.in/204089/gate-cse-2018-question-15,applied,gateoverflow_widget,NAT,0.0231,0.0230 : 0.0232
go:204090,https://gateoverflow.in/204090/gate-cse-2018-question-16,applied,gateoverflow_widget,NAT,0.2885,0.288 : 0.289
go:204097,https://gateoverflow.in/204097/gate-cse-2018-question-23,applied,gateoverflow_widget,NAT,59.5,59 : 60
go:204099,https://gateoverflow.in/204099/gate-cse-2018-question-25,applied,gateoverflow_widget,NAT,34.5,34 : 35
go:204119,https://gateoverflow.in/204119/gate-cse-2018-question-44,applied,gateoverflow_widget,NAT,0.605,0.60 : 0.61
go:2077,https://gateoverflow.in/2077/gate-cse-2014-set-3-question-43,applied,gateoverflow_widget,NAT,1.55,1.50 : 1.60
go:2777,https://gateoverflow.in/2777/gate-cse-1996-question-25,applied,gateoverflow_widget,NAT,1.45,1.4 : 1.5
go:302806,https://gateoverflow.in/302806/gate-cse-2019-question-42,applied,gateoverflow_widget,NAT,4.05,4.0 : 4.1
go:333178,https://gateoverflow.in/333178/gate-cse-2020-question-53,applied,gateoverflow_widget,NAT,155.5,155:156
go:333181,https://gateoverflow.in/333181/gate-cse-2020-question-50,applied,gateoverflow_widget,NAT,5.255,5.25:5.26
go:333188,https://gateoverflow.in/333188/gate-cse-2020-question-43,applied,gateoverflow_widget,NAT,2.165,2.15:2.18
go:333214,https://gateoverflow.in/333214/gate-cse-2020-question-17,applied,gateoverflow_widget,NAT,0.1254,0.1249:0.1259
go:357396,https://gateoverflow.in/357396/gate-cse-2021-set-1-question-54,applied,gateoverflow_widget,NAT,0.04,0.04 : 0.04
go:357397,https://gateoverflow.in/357397/gate-cse-2021-set-1-question-55,applied,gateoverflow_widget,NAT,50.0,50 : 50
go:357398,https://gateoverflow.in/357398/gate-cse-2021-set-1-question-53,applied,gateoverflow_widget,NAT,17160.0,17160 : 17160
go:357399,https://gateoverflow.in/357399/gate-cse-2021-set-1-question-52,applied,gateoverflow_widget,NAT,3.0,3 : 3
go:357402,https://gateoverflow.in/357402/gate-cse-2021-set-1-question-49,applied,gateoverflow_widget,NAT,51.0,50 : 52
go:357429,https://gateoverflow.in/357429/gate-cse-2021-set-1-question-22,applied,gateoverflow_widget,NAT,17.0,17 : 17
go:357431,https://gateoverflow.in/357431/gate-cse-2021-set-1-question-20,applied,gateoverflow_widget,NAT,0.25,0.25 : 0.25
